Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_ARQK01000019.1	6444	7112		minus	ABC transporter substrate-binding protein		0	protein-coding		WP_019624689.1	222	G372_RS0100485
NZ_ARQK01000019.1	7134	7592		minus	outer membrane lipid asymmetry maintenance protein MlaD	mlaD	0	protein-coding		WP_026279129.1	152	G372_RS0100490
NZ_ARQK01000019.1	7614	8396		minus	lipid asymmetry maintenance ABC transporter permease subunit MlaE	mlaE	0	protein-coding		WP_019624690.1	260	G372_RS0100495
NZ_ARQK01000019.1	8389	9222		minus	ATP-binding cassette domain-containing protein		0	protein-coding		WP_026340437.1	277	G372_RS0100500
NZ_ARQK01000019.1	9304	9945		minus	hypothetical protein		0	protein-coding		WP_019624692.1	213	G372_RS0100505
NZ_ARQK01000019.1	10021	11118		plus	LLM class flavin-dependent oxidoreductase		0	protein-coding		WP_018865425.1	365	G372_RS0100510
NZ_ARQK01000019.1	11125	12042		plus	NAD-dependent epimerase/dehydratase family protein		0	protein-coding		WP_019624693.1	305	G372_RS0100515
NZ_ARQK01000020.1	185	1039		minus	archaetidylserine decarboxylase	asd	0	protein-coding		WP_019624601.1	284	G372_RS0100520
NZ_ARQK01000020.1	1118	2005		plus	50S ribosomal protein L3 N(5)-glutamine methyltransferase	prmB	0	protein-coding		WP_026340426.1	295	G372_RS0100525
NZ_ARQK01000020.1	2049	2843		plus	4-hydroxy-tetrahydrodipicolinate reductase	dapB	0	protein-coding		WP_019624599.1	264	G372_RS0100530
NZ_ARQK01000020.1	2856	3173		minus	hypothetical protein		0	protein-coding		WP_026340425.1	105	G372_RS0100535
NZ_ARQK01000020.1	3188	4315		minus	metal-dependent hydrolase		0	protein-coding		WP_019624597.1	375	G372_RS0100540
NZ_ARQK01000020.1	4440	8117		plus	hydantoinase B/oxoprolinase family protein		0	protein-coding		WP_026340424.1	1225	G372_RS0100545
NZ_ARQK01000020.1	8183	9220		plus	cyclopropane-fatty-acyl-phospholipid synthase family protein		0	protein-coding		WP_019624595.1	345	G372_RS0100550
NZ_ARQK01000020.1	9226	9999		plus	DUF1295 domain-containing protein		0	protein-coding		WP_019624594.1	257	G372_RS0100555
NZ_ARQK01000020.1	10150	10929		plus	septum site-determining protein MinC	minC	0	protein-coding		WP_051080817.1	259	G372_RS0100560
NZ_ARQK01000020.1	11298	12107		plus	septum site-determining protein MinD	minD	0	protein-coding		WP_012983203.1	269	G372_RS0100565
NZ_ARQK01000020.1	12110	12367		plus	cell division topological specificity factor MinE	minE	0	protein-coding		WP_018137595.1	85	G372_RS0100570
NZ_ARQK01000020.1	12520	13042		plus	GDP-mannose 4,6-dehydratase		0	protein-coding		WP_020008803.1	174	G372_RS0100575
NZ_ARQK01000021.1	1	96		minus	GTP-binding protein		0	protein-coding		WP_018137563.1	32	G372_RS13440
NZ_ARQK01000021.1	142	2238		minus	elongation factor G	fusA	0	protein-coding		WP_019624926.1	698	G372_RS0100585
NZ_ARQK01000021.1	2261	2728		minus	30S ribosomal protein S7	rpsG	0	protein-coding		WP_018865391.1	155	G372_RS0100590
NZ_ARQK01000021.1	2755	3132		minus	30S ribosomal protein S12	rpsL	0	protein-coding		WP_018862839.1	125	G372_RS0100595
NZ_ARQK01000021.1	3242	7462		minus	DNA-directed RNA polymerase subunit beta'	rpoC	0	protein-coding		WP_019624927.1	1406	G372_RS0100600
NZ_ARQK01000021.1	7536	11615		minus	DNA-directed RNA polymerase subunit beta	rpoB	0	protein-coding		WP_018865393.1	1359	G372_RS0100605
NZ_ARQK01000021.1	11746	12126		minus	50S ribosomal protein L7/L12	rplL	0	protein-coding		WP_018137615.1	126	G372_RS0100610
NZ_ARQK01000021.1	12193	12714		minus	50S ribosomal protein L10	rplJ	0	protein-coding		WP_018865394.1	173	G372_RS0100615
NZ_ARQK01000021.1	12936	13631		minus	50S ribosomal protein L1	rplA	0	protein-coding		WP_018865395.1	231	G372_RS0100620
NZ_ARQK01000021.1	13633	14064		minus	50S ribosomal protein L11	rplK	0	protein-coding		WP_018865396.1	143	G372_RS0100625
NZ_ARQK01000021.1	14127	14660		minus	transcription termination/antitermination protein NusG	nusG	0	protein-coding		WP_018865397.1	177	G372_RS0100630
NZ_ARQK01000021.1	14677	15042		minus	preprotein translocase subunit SecE	secE	0	protein-coding		WP_018865398.1	121	G372_RS0100635
NZ_ARQK01000021.1	15082	15157		minus	tRNA-Trp		0	tRNA				G372_RS0100640
NZ_ARQK01000021.1	15244	15312		minus	uncharacterized gene		0	pseudogene				G372_RS13690
NZ_ARQK01000022.1	205	816		plus	ribosome biogenesis GTP-binding protein YihA/YsxC	yihA	0	protein-coding		WP_018863276.1	203	G372_RS0100645
NZ_ARQK01000022.1	1074	1721		minus	SCO family protein		0	protein-coding		WP_018863275.1	215	G372_RS0100650
NZ_ARQK01000022.1	1732	2226		minus	hypothetical protein		0	protein-coding		WP_018863274.1	164	G372_RS0100655
NZ_ARQK01000022.1	2241	4949		minus	DNA polymerase I	polA	0	protein-coding		WP_019623848.1	902	G372_RS0100660
NZ_ARQK01000022.1	5061	5786		plus	TIGR00730 family Rossman fold protein		0	protein-coding		WP_018863272.1	241	G372_RS0100665
NZ_ARQK01000022.1	5789	6196		plus	DUF2782 domain-containing protein		0	protein-coding		WP_018863271.1	135	G372_RS0100670
NZ_ARQK01000022.1	6196	7032		plus	hypothetical protein		0	protein-coding		WP_019623847.1	278	G372_RS0100675
NZ_ARQK01000022.1	7066	7719		plus	DUF4124 domain-containing protein		0	protein-coding		WP_019623846.1	217	G372_RS0100680
NZ_ARQK01000022.1	7893	8990		plus	nitrogen regulation protein NR(II)	glnL	0	protein-coding		WP_019623845.1	365	G372_RS0100685
NZ_ARQK01000022.1	8990	10426		plus	nitrogen regulation protein NR(I)	ntrC	0	protein-coding		WP_020008804.1	478	G372_RS0100690
NZ_ARQK01000022.1	10460	11452		minus	dihydroorotate dehydrogenase		0	protein-coding		WP_019623843.1	330	G372_RS0100695
NZ_ARQK01000022.1	11451	11915		plus	tRNA (cytidine(34)-2'-O)-methyltransferase		0	protein-coding		WP_019623842.1	154	G372_RS0100700
NZ_ARQK01000022.1	12037	12909		plus	dienelactone hydrolase family protein		0	protein-coding		WP_018863264.1	290	G372_RS0100705
NZ_ARQK01000022.1	13146	14354		plus	6-phosphofructokinase		0	protein-coding		WP_018863263.1	402	G372_RS0100710
NZ_ARQK01000022.1	14454	15110		minus	adenylate kinase	adk	0	protein-coding		WP_018863262.1	218	G372_RS0100715
NZ_ARQK01000023.1	1	630		plus	energy transducer TonB		0	protein-coding		WP_083923843.1	209	G372_RS13700
NZ_ARQK01000023.1	688	1443		plus	MotA/TolQ/ExbB proton channel family protein		0	protein-coding		WP_018865439.1	251	G372_RS0100730
NZ_ARQK01000023.1	1446	1862		plus	biopolymer transporter ExbD		0	protein-coding		WP_026279132.1	138	G372_RS0100735
NZ_ARQK01000023.1	1859	2032		plus	hemin uptake protein HemP		0	protein-coding		WP_018865437.1	57	G372_RS13705
NZ_ARQK01000023.1	2135	4306		plus	TonB-dependent receptor		0	protein-coding		WP_019623730.1	723	G372_RS0100745
NZ_ARQK01000023.1	4496	4687		plus	hypothetical protein		0	protein-coding		WP_018865435.1	63	G372_RS0100750
NZ_ARQK01000023.1	4822	5079		minus	hypothetical protein		0	protein-coding		WP_018865434.1	85	G372_RS0100755
NZ_ARQK01000023.1	5316	5987		plus	tetratricopeptide repeat protein		0	protein-coding		WP_026279131.1	223	G372_RS0100760
NZ_ARQK01000023.1	6021	6467		minus	hypothetical protein		0	protein-coding		WP_019623729.1	148	G372_RS0100765
NZ_ARQK01000023.1	6493	6708		minus	hypothetical protein		0	protein-coding		WP_019623728.1	71	G372_RS0100770
NZ_ARQK01000023.1	6780	7904		minus	hypothetical protein		0	protein-coding		WP_019623727.1	374	G372_RS0100775
NZ_ARQK01000023.1	7994	8686		plus	hypothetical protein		0	protein-coding		WP_018865429.1	230	G372_RS0100780
NZ_ARQK01000023.1	8679	9185		plus	YcgN family cysteine cluster protein		0	protein-coding		WP_018865428.1	168	G372_RS0100785
NZ_ARQK01000023.1	9499	9981		plus	gamma-glutamylcyclotransferase		0	protein-coding		WP_019623726.1	160	G372_RS0100790
NZ_ARQK01000023.1	10158	11819		minus	DNA repair protein RecN	recN	0	protein-coding		WP_019623725.1	553	G372_RS0100795
NZ_ARQK01000023.1	11827	12705		minus	NAD(+) kinase		0	protein-coding		WP_018865360.1	292	G372_RS0100800
NZ_ARQK01000023.1	12818	13873		plus	heat-inducible transcriptional repressor HrcA	hrcA	0	protein-coding		WP_018865361.1	351	G372_RS0100805
NZ_ARQK01000023.1	14001	14582		plus	nucleotide exchange factor GrpE	grpE	0	protein-coding		WP_018865362.1	193	G372_RS0100810
NZ_ARQK01000023.1	14705	16636		plus	molecular chaperone DnaK	dnaK	0	protein-coding		WP_018865363.1	643	G372_RS0100815
NZ_ARQK01000023.1	16778	17926		plus	molecular chaperone DnaJ	dnaJ	0	protein-coding		WP_018865364.1	382	G372_RS0100820
NZ_ARQK01000024.1	1	123		minus	single-stranded DNA-binding protein		0	protein-coding		WP_020008806.1	41	G372_RS13450
NZ_ARQK01000024.1	531	1919		minus	MFS transporter		0	protein-coding		WP_019624787.1	462	G372_RS0100830
NZ_ARQK01000024.1	2090	4939		plus	excinuclease ABC subunit UvrA	uvrA	0	protein-coding		WP_019624788.1	949	G372_RS0100835
NZ_ARQK01000024.1	5029	5424		minus	50S ribosomal protein L17	rplQ	0	protein-coding		WP_018864733.1	131	G372_RS0100840
NZ_ARQK01000024.1	5467	6453		minus	DNA-directed RNA polymerase subunit alpha	rpoA	0	protein-coding		WP_019624789.1	328	G372_RS0100845
NZ_ARQK01000024.1	6484	7104		minus	30S ribosomal protein S4	rpsD	0	protein-coding		WP_018864731.1	206	G372_RS0100850
NZ_ARQK01000024.1	7120	7509		minus	30S ribosomal protein S11	rpsK	0	protein-coding		WP_012983509.1	129	G372_RS0100855
NZ_ARQK01000024.1	7531	7887		minus	30S ribosomal protein S13	rpsM	0	protein-coding		WP_018864730.1	118	G372_RS0100860
NZ_ARQK01000024.1	7954	8067		minus	50S ribosomal protein L36	rpmJ	0	protein-coding		WP_012983511.1	37	G372_RS0100865
NZ_ARQK01000024.1	8104	9450		minus	preprotein translocase subunit SecY	secY	0	protein-coding		WP_026279052.1	448	G372_RS0100870
NZ_ARQK01000024.1	9450	9884		minus	50S ribosomal protein L15	rplO	0	protein-coding		WP_019624790.1	144	G372_RS0100875
NZ_ARQK01000024.1	9888	10067		minus	50S ribosomal protein L30	rpmD	0	protein-coding		WP_018864727.1	59	G372_RS0100880
NZ_ARQK01000024.1	10070	10576		minus	30S ribosomal protein S5	rpsE	0	protein-coding		WP_018864726.1	168	G372_RS0100885
NZ_ARQK01000024.1	10604	10954		minus	50S ribosomal protein L18	rplR	0	protein-coding		WP_018862116.1	116	G372_RS0100890
NZ_ARQK01000024.1	10965	11495		minus	50S ribosomal protein L6	rplF	0	protein-coding		WP_018864725.1	176	G372_RS0100895
NZ_ARQK01000024.1	11506	11898		minus	30S ribosomal protein S8	rpsH	0	protein-coding		WP_018864724.1	130	G372_RS0100900
NZ_ARQK01000024.1	11912	12217		minus	30S ribosomal protein S14	rpsN	0	protein-coding		WP_018864723.1	101	G372_RS0100905
NZ_ARQK01000024.1	12231	12770		minus	50S ribosomal protein L5	rplE	0	protein-coding		WP_018864722.1	179	G372_RS0100910
NZ_ARQK01000024.1	12787	13101		minus	50S ribosomal protein L24	rplX	0	protein-coding		WP_018864721.1	104	G372_RS0100915
NZ_ARQK01000024.1	13109	13477		minus	50S ribosomal protein L14	rplN	0	protein-coding		WP_018862121.1	122	G372_RS0100920
NZ_ARQK01000024.1	13499	13765		minus	30S ribosomal protein S17	rpsQ	0	protein-coding		WP_018864720.1	88	G372_RS0100925
NZ_ARQK01000024.1	13770	13961		minus	50S ribosomal protein L29	rpmC	0	protein-coding		WP_018864719.1	63	G372_RS0100930
NZ_ARQK01000024.1	13961	14374		minus	50S ribosomal protein L16	rplP	0	protein-coding		WP_018862122.1	137	G372_RS0100935
NZ_ARQK01000024.1	14387	15067		minus	30S ribosomal protein S3	rpsC	0	protein-coding		WP_018864718.1	226	G372_RS0100940
NZ_ARQK01000024.1	15070	15408		minus	50S ribosomal protein L22	rplV	0	protein-coding		WP_018864717.1	112	G372_RS0100945
NZ_ARQK01000024.1	15418	15690		minus	30S ribosomal protein S19	rpsS	0	protein-coding		WP_018864716.1	90	G372_RS0100950
NZ_ARQK01000024.1	15703	16524		minus	50S ribosomal protein L2	rplB	0	protein-coding		WP_018864715.1	273	G372_RS0100955
NZ_ARQK01000024.1	16527	16823		minus	50S ribosomal protein L23	rplW	0	protein-coding		WP_018864714.1	98	G372_RS0100960
NZ_ARQK01000024.1	16820	17425		minus	50S ribosomal protein L4	rplD	0	protein-coding		WP_018864713.1	201	G372_RS0100965
NZ_ARQK01000024.1	17431	18075		minus	50S ribosomal protein L3	rplC	0	protein-coding		WP_018864712.1	214	G372_RS0100970
NZ_ARQK01000024.1	18187	18498		minus	30S ribosomal protein S10	rpsJ	0	protein-coding		WP_012983533.1	103	G372_RS0100975
NZ_ARQK01000024.1	18504	18866		minus	uncharacterized gene		0	pseudogene				G372_RS0100980
NZ_ARQK01000025.1	278	3055		plus	valine--tRNA ligase		0	protein-coding		WP_019623711.1	925	G372_RS0100985
NZ_ARQK01000025.1	3081	3755		minus	YdcF family protein		0	protein-coding		WP_018865387.1	224	G372_RS0100990
NZ_ARQK01000025.1	3994	4266		plus	phosphopantetheine-binding protein		0	protein-coding		WP_081618911.1	90	G372_RS0100995
NZ_ARQK01000025.1	4263	4877		plus	hypothetical protein		0	protein-coding		WP_019623712.1	204	G372_RS0101000
NZ_ARQK01000025.1	4874	6214		plus	AMP-binding protein		0	protein-coding		WP_018865384.1	446	G372_RS0101005
NZ_ARQK01000025.1	6218	6544		plus	hypothetical protein		0	protein-coding		WP_018865383.1	108	G372_RS0101010
NZ_ARQK01000025.1	6541	7440		plus	lipid A biosynthesis acyltransferase		0	protein-coding		WP_018865382.1	299	G372_RS0101015
NZ_ARQK01000025.1	7487	8041		plus	hypothetical protein		0	protein-coding		WP_026340323.1	184	G372_RS0101020
NZ_ARQK01000025.1	8045	10429		plus	MMPL family transporter		0	protein-coding		WP_019623714.1	794	G372_RS0101025
NZ_ARQK01000025.1	10469	11653		plus	beta-ketoacyl-[acyl-carrier-protein] synthase family protein		0	protein-coding		WP_019623715.1	394	G372_RS0101030
NZ_ARQK01000025.1	11650	12426		plus	beta-ketoacyl synthase chain length factor		0	protein-coding		WP_019623716.1	258	G372_RS0101035
NZ_ARQK01000025.1	12475	12930		plus	hypothetical protein		0	protein-coding		WP_019623717.1	151	G372_RS0101040
NZ_ARQK01000025.1	12927	13649		plus	3-oxoacyl-ACP reductase FabG	fabG	0	protein-coding		WP_019623718.1	240	G372_RS0101045
NZ_ARQK01000025.1	13659	14399		plus	glycosyltransferase family 2 protein		0	protein-coding		WP_019623719.1	246	G372_RS0101050
NZ_ARQK01000025.1	14510	14905		plus	hypothetical protein		0	protein-coding		WP_018865374.1	131	G372_RS0101055
NZ_ARQK01000025.1	15029	15514		minus	YhcB family protein		0	protein-coding		WP_018865373.1	161	G372_RS0101060
